"MATRICULA","ANNO","CURSO","EVALUACION","SESION","MATERIA","CL_MATERIA","SUBGRUPO","NOTA","CODIGONOTA","OPCION","X_OFERTAMATRIG","X_CONVCENTRO","X_MATMATRICULA"
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Primera Evaluación,,Inglés II,31990,Matriculada,6,384,Idiomas,105522,66102,26776809
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Primera Evaluación,,Historia de España,31984,Matriculada,8,388,Comunes,105522,66102,26776806
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Primera Evaluación,,Economía de la empresa,32030,Matriculada,9,390,Modalidad,105522,66102,26776810
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Primera Evaluación,,Lengua castellana y literatura II,31988,Matriculada,8,388,Comunes,105522,66102,26776808
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Primera Evaluación,,Literatura universal,32040,Matriculada,9,390,Modalidad,105522,66102,26776811
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Segunda Evaluación,,Historia de España,31984,Matriculada,7,386,Comunes,105522,67134,26776806
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Segunda Evaluación,,Lengua castellana y literatura II,31988,Matriculada,9,390,Comunes,105522,67134,26776808
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Segunda Evaluación,,Matemáticas aplicadas a las ciencias sociales II,32042,Matriculada,9,390,Modalidad,105522,67134,26776812
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Segunda Evaluación,,Literatura universal,32040,Matriculada,9,390,Modalidad,105522,67134,26776811
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Ordinaria,22/05/2014,Inglés II,31990,Matriculada,7,386,Idiomas,105522,62772,26776809
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Recuperación de la 1ª Evaluación,,Literatura universal,32040,Matriculada,,,Modalidad,105522,67196,26776811
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Recuperación de la 1ª Evaluación,,Fundamentos de administración y gestión,32190,Matriculada,,,Optativas,105522,67196,26778327
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Recuperación de la 1ª Evaluación,,Matemáticas aplicadas a las ciencias sociales II,32042,Matriculada,,,Modalidad,105522,67196,26776812
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Recuperación de la 1ª Evaluación,,Historia de la filosofía,31986,Matriculada,,,Comunes,105522,67196,26776807
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Recuperación de la 1ª Evaluación,,Lengua castellana y literatura II,31988,Matriculada,,,Comunes,105522,67196,26776808
3857445,2013,2º de Bachillerato (Humanidades y Ciencias Sociales),Recuperación de la 1ª Evaluación,,Economía de la empresa,32030,Matriculada,,,Modalidad,105522,67196,26776810
