"ALUMNO","MATRICULA","ETAPA","ANNO","TIPO","ESTUDIOS","GRUPO","REPETIDOR","FECHAMATRICULA","CENTRO","PROCEDENCIA","ESTADOMATRICULA","FECHARESMATRICULA","NUM_EXP_CENTRO"
230868,4475976,667,2014,O,1º de ESO,1º B,N,09/07/2014,13000906,13000891,,,263
41510,4476464,667,2014,O,2º de ESO,2º B,N,09/07/2014,13000906,13000906,,,175
99800,4480646,667,2014,O,3º de ESO,3º A,N,10/07/2014,13000906,13000906,,,187
99946,4480661,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,10/07/2014,13000906,13000906,,,22
82500,4484394,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,10/07/2014,13000906,13000906,,,23
344500,4480669,667,2014,O,1º de ESO,1º A,N,10/07/2014,13000906,13000311,,,264
230919,4485344,667,2014,O,1º de ESO,1º A,N,10/07/2014,13000906,13000891,,,265
41369,4480910,667,2014,O,2º de ESO,2º A,N,10/07/2014,13000906,13000906,,,190
103912,4484284,667,2014,O,3º de ESO,3º B,N,10/07/2014,13000906,13000906,,,55
39955,4489386,667,2014,O,2º de ESO,2º A,N,11/07/2014,13000906,13000906,,,191
103923,4491178,667,2014,O,3º de ESO,3º B,N,11/07/2014,13000906,13000906,,,58
228516,4490263,667,2014,O,1º de ESO,1º A,N,11/07/2014,13000906,13000888,,,266
99938,4501069,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,16/07/2014,13000906,13000906,,,28
99862,4501070,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,16/07/2014,13000906,13000906,,,37
566401,4501147,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,16/07/2014,13000906,13000906,,,27
228483,4516212,667,2014,O,1º de ESO,1º B,N,01/09/2014,13000906,13000891,,,267
82459,4580127,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,S,11/09/2014,13000906,13000906,Anulada,12/09/2014,39
41472,4581140,667,2014,O,1º de ESO,1º A,S,11/09/2014,13000906,13000906,,,186
82607,4588323,667,2014,O,1º de ESO,1º B,S,12/09/2014,13000906,13000906,,,214
99832,4593900,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,15/09/2014,13000906,13000906,,,26
127779,4593915,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,15/09/2014,13000906,,Anulada,26/09/2014,80
99833,4594530,667,2014,O,4º de ESO,4º B,S,15/09/2014,13000906,13000906,,,81
104066,4599459,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,16/09/2014,13000906,13000906,,,26
104072,4599460,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,16/09/2014,13000906,13000906,,,21
99921,4588384,667,2014,O,3º de ESO,3º B,N,12/09/2014,13000906,13000906,Trasladada,19/09/2014,77
82519,4597097,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,S,16/09/2014,13000906,13000906,,,76
848588,4593707,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,S,15/09/2014,13000906,13000906,,,135
104070,4597122,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,N,16/09/2014,13000906,,,,35
82494,4597123,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,N,16/09/2014,13000906,,,,54
99831,4597124,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,N,16/09/2014,13000906,,,,115
99860,4597125,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,N,16/09/2014,13000906,,,,117
82479,4607417,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,N,18/09/2014,13000906,,,,56
99944,4607418,759,2014,O,2º de PCPI - Sin Especificar Familia,2º PCPI,N,18/09/2014,13000906,,,,116
99939,4602229,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,219
104068,4602230,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,68
104060,4602231,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,38
344382,4602232,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,8
103989,4602233,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,40
82540,4602234,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,63
780363,4602235,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,19
489193,4609479,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,19/09/2014,13000906,13000906,,,13
104071,4603548,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,14
975750,4603549,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,17/09/2014,13000906,,,,218
852711,4605933,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,18/09/2014,13000906,,,,136
193373,4605934,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,18/09/2014,13000906,,,,205
104046,4605935,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,18/09/2014,13000906,,,,73
505651,4613346,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,22/09/2014,13000906,,,,46
689910,4612988,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,22/09/2014,13000906,,,,118
98949,4613062,1153,2014,O,1º de FPB - Servicios Administrativos,1ºFPB,N,22/09/2014,13000906,,,,217
99821,4613108,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,22/09/2014,13000906,13000906,Anulada,03/10/2014,65
175461,4526534,667,2014,O,2º de ESO,2º B,N,04/09/2014,13000906,13000906,,,172
99803,4526536,667,2014,O,2º de ESO,2º A,S,04/09/2014,13000906,13000906,,,210
940496,4527427,667,2014,O,2º de ESO,2º A,N,04/09/2014,13000906,13000906,,,179
44952,4527944,667,2014,O,2º de ESO,2º A,N,04/09/2014,13000906,13000906,,,171
103951,4526614,667,2014,O,3º de ESO,3º B,S,04/09/2014,13000906,13000906,,,37
99922,4526615,667,2014,O,3º de ESO,3º B,N,04/09/2014,13000906,13000906,,,49
103985,4526616,667,2014,O,3º de ESO,3º A,S,04/09/2014,13000906,13000906,,,3
103900,4526919,667,2014,O,4º de ESO,4º A,N,04/09/2014,13000906,13000906,,,47
82548,4526921,667,2014,O,4º de ESO,4º B,N,04/09/2014,13000906,13000906,,,34
82449,4527557,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,S,04/09/2014,13000906,13000906,,,65
103941,4527562,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,S,04/09/2014,13000906,13000906,,,56
99812,4526030,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,04/09/2014,13000906,13000906,,,9
116028,4526319,667,2014,O,1º de ESO,1º A,S,04/09/2014,13000906,13000906,,,174
296990,4526320,667,2014,O,1º de ESO,1º B,S,04/09/2014,13000906,13000906,,,196
40384,4526355,667,2014,O,1º de ESO,1º B,S,04/09/2014,13000906,13000906,,,178
99816,4527656,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,04/09/2014,13000906,13000906,,,41
79225,4527684,667,2014,O,4º de ESO,4º B,N,04/09/2014,13000906,13000906,,,56
82541,4527685,667,2014,O,4º de ESO,4º B,N,04/09/2014,13000906,13000906,,,29
99883,4523963,667,2014,O,2º de ESO,2º A,N,04/09/2014,13000906,13000906,,,213
127785,4524066,667,2014,O,4º de ESO,4º B,N,04/09/2014,13000906,13000906,,,63
41103,4526676,667,2014,O,2º de ESO,2º B,N,04/09/2014,13000906,13000906,,,200
103913,4404693,667,2014,O,3º de ESO,3º B,N,01/07/2014,13000906,13000906,,,53
104044,4414036,667,2014,O,4º de ESO,4º B,N,01/07/2014,13000906,13000906,,,56
103990,4414038,667,2014,O,4º de ESO,4º A,N,01/07/2014,13000906,13000906,,,23
104043,4414100,667,2014,O,4º de ESO,4º B,N,01/07/2014,13000906,13000906,,,57
228560,4408621,667,2014,O,1º de ESO,1º B,N,01/07/2014,13000906,13000888,,,224
228550,4408648,667,2014,O,1º de ESO,1º B,N,01/07/2014,13000906,13000888,,,225
39781,4408693,667,2014,O,2º de ESO,2º B,N,01/07/2014,13000906,13000906,,,180
82543,4408394,667,2014,O,4º de ESO,4º A,N,01/07/2014,13000906,13000906,,,5
304194,4413321,667,2014,O,1º de ESO,1º A,N,01/07/2014,13000906,13001662,,,226
103911,4410573,667,2014,O,3º de ESO,3º B,N,01/07/2014,13000906,13000906,,,51
496996,4402952,667,2014,O,1º de ESO,1º B,N,01/07/2014,13000906,13000888,,,223
104061,4402954,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,01/07/2014,13000906,13000906,,,38
104062,4408598,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,01/07/2014,13000906,13000906,,,45
82544,4408834,667,2014,O,4º de ESO,4º B,N,01/07/2014,13000906,13000906,,,4
103976,4415167,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,01/07/2014,13000906,13000906,,,15
99801,4420574,667,2014,O,3º de ESO,3º B,N,02/07/2014,13000906,13000906,,,169
82600,4425716,667,2014,O,3º de ESO,3º A,N,02/07/2014,13000906,13000906,,,72
82591,4426492,667,2014,O,4º de ESO,4º B,N,02/07/2014,13000906,13000906,,,59
40270,4425742,667,2014,O,2º de ESO,2º B,N,02/07/2014,13000906,13000906,,,159
104059,4414723,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,01/07/2014,13000906,13000906,,,11
99834,4414973,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,01/07/2014,13000906,13000906,,,71
228397,4425807,667,2014,O,1º de ESO,1º B,N,02/07/2014,13000906,13000891,,,227
228402,4425809,667,2014,O,1º de ESO,1º B,N,02/07/2014,13000906,13000891,,,228
82599,4430056,667,2014,O,2º de ESO,2º A,N,02/07/2014,13000906,13000906,,,189
41123,4429480,667,2014,O,1º de ESO,1º B,N,02/07/2014,13000906,13000888,,,231
99926,4430351,667,2014,O,3º de ESO,3º A,N,02/07/2014,13000906,13000906,,,76
99856,4439269,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,03/07/2014,13000906,13000906,,,10
99868,4439271,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,03/07/2014,13000906,13000906,,,11
933842,4437820,667,2014,O,2º de ESO,2º B,N,03/07/2014,13000906,13000906,,,164
41586,4428752,667,2014,O,2º de ESO,2º B,N,02/07/2014,13000906,13000906,,,182
82594,4429029,667,2014,O,3º de ESO,3º B,N,02/07/2014,13000906,13000906,,,59
82595,4429030,667,2014,O,3º de ESO,3º B,N,02/07/2014,13000906,13000906,,,60
82601,4429286,667,2014,O,3º de ESO,3º B,N,02/07/2014,13000906,13000906,,,31
228394,4433833,667,2014,O,1º de ESO,1º B,N,03/07/2014,13000906,13000891,,,233
103926,4433719,667,2014,O,3º de ESO,3º B,N,03/07/2014,13000906,13000906,,,52
344498,4436963,667,2014,O,1º de ESO,1º A,N,03/07/2014,13000906,13000311,,,236
344507,4436965,667,2014,O,1º de ESO,1º B,N,03/07/2014,13000906,13000311,,,237
41302,4438442,667,2014,O,2º de ESO,2º B,N,03/07/2014,13000906,13000906,,,181
309698,4427540,667,2014,O,1º de ESO,1º A,N,02/07/2014,13000906,13000888,,,229
350369,4427583,667,2014,O,3º de ESO,3º B,N,02/07/2014,13000906,13000906,,,51
228448,4427855,667,2014,O,1º de ESO,1º B,N,02/07/2014,13000906,13000891,,,230
40524,4435923,667,2014,O,1º de ESO,1º B,N,03/07/2014,13000906,13000888,,,234
344724,4435927,667,2014,O,1º de ESO,1º B,N,03/07/2014,13000906,13000311,,,235
228430,4431440,667,2014,O,1º de ESO,1º B,N,02/07/2014,13000906,13000891,,,232
99940,4430516,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,02/07/2014,13000906,13000906,,,55
99951,4448712,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,04/07/2014,13000906,13000906,,,64
99952,4448713,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,04/07/2014,13000906,13000906,,,13
104064,4448734,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,04/07/2014,13000906,13000906,,,9
228457,4448741,667,2014,O,1º de ESO,1º B,N,04/07/2014,13000906,13000888,,,245
344504,4448758,667,2014,O,1º de ESO,1º A,N,04/07/2014,13000906,13000311,,,246
82471,4450654,667,2014,O,2º de ESO,2º B,N,04/07/2014,13000906,13000906,,,185
82536,4449632,667,2014,O,4º de ESO,4º B,N,04/07/2014,13000906,13000906,,,67
99948,4449707,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,04/07/2014,13000906,13000906,,,66
